BPOS,BVEL,DEPT,DateTime,GR,HKLD,ROP5,RPM,Run,SPPA,SWOB,Stick_RT,TFLO,TQA,Well,azi,dispEw,dispNs,dls,incl,tvd
32.51,0.06,999.0,2007-10-14 21:10:50,21.9,114.25,232.42,132.0,run_2,75.52,-5.0,30.0,3057.36,0.52,F-4,155.27,13.1129141856,-116.7529304256,0.0233103674540682,13.58,985.1696832
27.73,0.01,1124.0,2007-10-15 01:08:40,79.4,110.58,6.24,133.0,run_2,115.43,3.77,72.0,3433.99,0.76,F-4,143.73,26.4893807016,-141.5668602744,0.0661909448818898,14.35,1107.7038552000001
27.63,0.01,1124.0,2007-10-15 01:08:50,79.4,110.31,6.25,153.0,run_2,124.2,4.04,72.0,3433.99,0.81,F-4,143.73,26.4893807016,-141.5668602744,0.0661909448818898,14.35,1107.7038552000001
27.56,0.01,1124.0,2007-10-15 01:09:00,79.4,110.94,6.24,154.0,run_2,118.8,3.4,72.0,3766.31,1.13,F-4,143.73,26.4893807016,-141.5668602744,0.0661909448818898,14.35,1107.7038552000001
27.48,0.01,1124.0,2007-10-15 01:09:10,79.4,111.53,6.24,153.0,run_2,116.25,2.81,72.0,3766.31,0.68,F-4,143.73,26.4893807016,-141.5668602744,0.0661909448818898,14.35,1107.7038552000001
27.72,-0.01,1124.0,2007-10-15 01:09:50,76.67,117.55,6.29,153.0,run_2,111.59,-3.2,72.0,3766.31,1.46,F-4,143.73,26.4893807016,-141.5668602744,0.0661909448818898,14.35,1107.7038552000001
27.57,0.01,1124.0,2007-10-15 01:10:00,76.67,117.28,6.29,153.0,run_2,110.6,-2.94,72.0,3766.31,1.46,F-4,143.73,26.4893807016,-141.5668602744,0.0661909448818898,14.35,1107.7038552000001
27.78,0.0,1165.0,2007-10-15 03:09:30,82.14,110.31,28.45,112.0,run_2,110.71,4.41,45.0,3722.0,0.29,F-4,146.96,32.5421073312,-150.3565970256,0.0541568241469816,16.36,1146.5835336
27.74,0.0,1165.0,2007-10-15 03:09:40,82.14,110.25,28.45,112.0,run_2,110.33,4.46,45.0,3722.0,0.29,F-4,146.96,32.5421073312,-150.3565970256,0.0541568241469816,16.36,1146.5835336
27.7,0.0,1165.0,2007-10-15 03:09:50,82.14,110.05,28.45,112.0,run_2,110.55,4.66,45.0,3722.0,0.3,F-4,146.96,32.5421073312,-150.3565970256,0.0541568241469816,16.36,1146.5835336
27.66,0.0,1165.0,2007-10-15 03:10:00,93.09,110.11,25.12,112.0,run_2,110.64,4.61,45.0,3722.0,0.29,F-4,146.96,32.5421073312,-150.3565970256,0.0541568241469816,16.36,1146.5835336
27.63,0.0,1165.0,2007-10-15 03:10:10,93.09,110.09,25.12,112.0,run_2,110.61,4.62,45.0,3722.0,0.22,F-4,146.96,32.5421073312,-150.3565970256,0.0541568241469816,16.36,1146.5835336
27.58,0.0,1165.0,2007-10-15 03:10:20,93.09,110.11,25.12,112.0,run_2,110.66,4.61,45.0,3722.0,0.29,F-4,146.96,32.5421073312,-150.3565970256,0.0541568241469816,16.36,1146.5835336
27.54,0.0,1165.0,2007-10-15 03:10:30,93.09,110.15,25.12,112.0,run_2,110.63,4.56,45.0,3722.0,0.3,F-4,146.96,32.5421073312,-150.3565970256,0.0541568241469816,16.36,1146.5835336
27.51,0.0,1165.0,2007-10-15 03:10:40,95.83,109.85,22.26,112.0,run_2,110.37,4.87,45.0,3389.68,0.29,F-4,146.96,32.5421073312,-150.3565970256,0.0541568241469816,16.36,1146.5835336
